id,code,lon,lat,label,name_ru,full_name_ru,county_ru
AD,1,2,8,АДГ,Адыгея,Республика Адыгея (Адыгея),Южный
BA,2,9,4,БАШ,Башкортостан,Республика Башкортостан,Приволжский
BU,3,13,5,БУР,Бурятия,Республика Бурятия,Дальневосточный
GA,4,12,6,АЛТ,Алтай,Республика Алтай,Сибирский
DA,5,7,9,ДАГ,Дагестан,Республика Дагестан,Северо-Кавказский
IN,6,5,8,ИНГ,Ингушетия,Республика Ингушетия,Северо-Кавказский
KB,7,4,9,К-Б,Кабардино-Балкария,Кабардино-Балкарская Республика,Северо-Кавказский
KL,8,6,8,КЛМ,Калмыкия,Республика Калмыкия,Южный
KC,9,3,9,К-Ч,Карачаево-Черкесия,Карачаево-Черкесская Республика,Северо-Кавказский
KR,10,5,0,КАР,Карелия,Республика Карелия,Северо-Западный
KO,11,9,2,КОМ,Коми,Республика Коми,Северо-Западный
ME,12,7,3,М-Э,Марий Эл,Республика Марий Эл,Приволжский
MO,13,6,5,МРД,Мордовия,Республика Мордовия,Приволжский
SA,14,14,3,ЯКУ,Саха (Якутия),Республика Саха (Якутия),Дальневосточный
SE,15,5,9,ОСЕ,Северная Осетия,Республика Северная Осетия - Алания,Северо-Кавказский
TT,16,8,4,ТАТ,Татарстан,Республика Татарстан (Татарстан),Приволжский
TY,17,13,6,ТЫВ,Тыва,Республика Тыва,Сибирский
UD,18,8,3,УДМ,Удмуртия,Удмуртская Республика,Приволжский
KK,19,12,5,ХАК,Хакасия,Республика Хакасия,Сибирский
CE,20,6,9,ЧЕЧ,Чечня,Чеченская Республика,Северо-Кавказский
CU,21,7,4,ЧУВ,Чувашия,Чувашская Республика - Чувашия,Приволжский
ALT,22,11,5,АЛ.К.,Алтайский край,Алтайский край,Сибирский
KDA,23,3,8,КР.К.,Краснодарский край,Краснодарский край,Южный
KYA,24,13,3,КРА,Красноярский край,Красноярский край,Сибирский
PRI,25,16,6,ПР.К.,Приморский край,Приморский край,Дальневосточный
STA,26,4,8,СТ.К.,Ставропольский край,Ставропольский край,Северо-Кавказский
KHA,27,15,4,ХАБ,Хабаровский край,Хабаровский край,Дальневосточный
AMU,28,14,4,АМУ,Амурская обл.,Амурская область,Дальневосточный
ARK,29,8,1,АРХ,Архангельская обл.,Архангельская область,Северо-Западный
AST,30,5,7,АСТ,Астраханская обл.,Астраханская область,Южный
BEL,31,3,6,БЕЛ,Белгородская обл.,Белгородская область,Центральный
BRY,32,2,4,БРЯ,Брянская обл.,Брянская область,Центральный
VLA,33,6,3,ВЛА,Владимирская обл.,Владимирская область,Центральный
VGG,34,5,6,ВГГ,Волгоградская обл.,Волгоградская область,Южный
VLG,35,5,1,ВОЛ,Вологодская обл.,Вологодская область,Северо-Западный
VOR,36,4,6,ВРЖ,Воронежская обл.,Воронежская область,Центральный
IVA,37,6,2,ИВА,Ивановская обл.,Ивановская область,Центральный
IRK,38,13,4,ИРК,Иркутская обл.,Иркутская область,Сибирский
KGD,39,0,2,КЛН,Калининградская обл.,Калининградская область,Северо-Западный
KLU,40,3,4,КЛЖ,Калужская обл.,Калужская область,Центральный
KAM,41,16,2,КАМ,Камчатский край,Камчатский край,Дальневосточный
KEM,42,12,4,КЕМ,Кемеровская обл.,Кемеровская область - Кузбасс,Сибирский
KIR,43,8,2,КИР,Кировская обл.,Кировская область,Приволжский
KOS,44,7,2,КОС,Костромская обл.,Костромская область,Центральный
KGN,45,10,6,КРГ,Курганская обл.,Курганская область,Уральский
KRS,46,2,5,КУР,Курская обл.,Курская область,Центральный
LEN,47,4,1,Л.О.,Ленинградская обл.,Ленинградская область,Северо-Западный
LIP,48,4,5,ЛИП,Липецкая обл.,Липецкая область,Центральный
MAG,49,15,3,МАГ,Магаданская обл.,Магаданская область,Дальневосточный
MOS,50,5,3,М.О.,Московская обл.,Московская область,Центральный
MUR,51,6,0,МУР,Мурманская обл.,Мурманская область,Северо-Западный
